ep_no,ep_prod_code,ep_season,ep_ytid,ep_title,ep_desc,ep_guest,ep_air_date,,
1,101,1,xjHHiAitf_Q,Pot-Bellied Pigs,"In the first episode, Ben attempts a pot-belly pig breeding scheme and Dr. Katz receives financial advice from Stanley.",Bill Braudis and Dom Irrera,"May 28, 1995",,
2,102,1,jMa4mfMjTw8,Pretzelkins,Dr. Katz asks Ben to take his grandfather to the urologist while attempting to deal with his own depressed feelings.,Ray Romano and Wendy Liebman.,"June 4, 1995",,
3,103,1,LeZZNFhuvKc,Bully,"Ben deals with his childhood stuffed bull, named Bully, being accidentally thrown out, and Dr. Katz attempts to perform at an open-mic night.",Ray Romano and Joy Behar.,"June 11, 1995",,
4,104,1,o0lEKX3hGik,Cholesterol,Dr. Katz starts to train with Julie the bartender after having health concerns.,Dave Attell and Laura Kightlinger,"June 18, 1995",,
5,105,1,kBqPz2zjtec,Everybody's Got a Tushy,Dr. Katz is worried about Ben's lack of social life.,Ray Romano and Larry Miller,"June 25, 1995",,
6,106,1,CCHMuuP8BpI,Family Car,Ben borrows the family car.,Anthony Clark and Andy Kindler,"July 2, 1995",,
7,201,2,,Bystander Ben,Ben witnesses a crime and appears in the newspaper.,Kevin Meaney and Steven Wright,"October 15, 1995",,
8,202,2,,Real Estate,Ben searches for an apartment.,Barry Sobel and Rita Rudner,"October 22, 1995",,
9,203,2,,Glasses,Dr. Katz buys a pair of glasses,Dom Irrera and Emo Philips,"October 29, 1995",,
10,204,2,,Office Management,Dr. Katz wonders why Laura is calling out from work and thinks she needs a morale boost.,Ray Romano and Carol Leifer,"November 6, 1995",,
11,205,2,,Bees and SIDS,Dr. Katz is afraid of a bee in the office. Ben reads his dad's medical books and convinces himself he is ill.,Dom Irrera and Louis C.K.,"November 13, 1995",,
12,206,2,,Drinky the Drunk Guy,Ben thinks his dad has a drinking problem.,Ray Romano and Janeane Garofalo,"November 20, 1995",,
13,207,2,,Sticky Notes,Dr. Katz thinks Laura is stealing sticky notes.,Garry Shandling and Judy Tenuta,"November 27, 1995",,
14,208,2,,,,,,,
15,209,2,,,,,,,
16,210,2,,,,,,,
17,211,2,,,,,,,
18,212,2,,,,,,,
19,213,2,,,,,,,
20,301,3,,,,,,,
21,302,3,,,,,,,
22,303,3,,,,,,,
23,304,3,,,,,,,
24,305,3,,,,,,,
25,306,3,,,,,,,
26,307,3,,,,,,,
27,308,3,,,,,,,
28,309,3,,,,,,,
29,310,3,,,,,,,
30,311,3,,,,,,,
31,312,3,,,,,,,
32,313,3,,,,,,,
33,401,4,,,,,,,
34,402,4,,,,,,,
35,403,4,,,,,,,
36,404,4,,,,,,,
37,405,4,,,,,,,
38,406,4,,,,,,,
39,407,4,,,,,,,
40,408,4,,,,,,,
41,409,4,,,,,,,
42,410,4,,,,,,,
43,411,4,,,,,,,
44,412,4,,,,,,,
45,413,4,,,,,,,
46,501,5,,,,,,,
47,502,5,,,,,,,
48,503,5,,,,,,,
49,504,5,,,,,,,
50,505,5,,,,,,,
51,506,5,,,,,,,
52,507,5,,,,,,,
53,508,5,,,,,,,
54,509,5,,,,,,,
55,510,5,,,,,,,
56,511,5,,,,,,,
57,512,5,,,,,,,
58,513,5,,,,,,,
59,514,5,,,,,,,
60,515,5,,,,,,,
61,516,5,,,,,,,
62,517,5,,,,,,,
63,518,5,,,,,,,
64,601,6,,,,,,,
65,602,6,,,,,,,
66,603,6,,,,,,,
67,604,6,,,,,,,
68,605,6,,,,,,,
69,606,6,,,,,,,
70,607,6,,,,,,,
71,608,6,,,,,,,
72,609,6,,,,,,,
73,610,6,,,,,,,
74,611,6,,,,,,,
75,612,6,,,,,,,
76,613,6,,,,,,,
77,614,6,,,,,,,
78,615,6,,,,,,,
79,616,6,,,,,,,
80,617,6,,,,,,,
81,618,6,,,,,,,